 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
  97     HCOR   0.00  11.76   2.25  -7.28   2.10 -9059.61 -28811.97 -10.22 -13.74  -0.50  414.22 -541.52  -0.01  -0.03   0.00  -0.00
  98     VCOR   0.00  11.76   2.25  -7.28   2.10 -9059.63 -4444.43 -10.22 -13.74  -0.50  414.22 -541.52  -0.01  -0.00   0.00  -0.00
  99    SD3S1   0.14  11.76   2.25  -7.28   2.10 -9059.63 -4444.43 -10.22 -13.74  -0.50  414.21 -541.52  -0.01  -0.00   0.00  -0.00
 100     QP41   0.15  11.89   4.65 -10.52   2.11 -9659.63 -4444.43  -6.84 -11.23  -0.50  341.11 -541.52  -0.01  -0.00   0.00  -0.00
 101   SD1S1B   0.06  12.04   7.07  -4.58   2.11 -9382.86 8074.75  -4.88  -2.68  -0.51  290.86 -139.27  -0.01   0.01   0.00  -0.00
 102     BPMx   0.00  12.10   7.63  -4.77   2.12 -8898.38 8074.75  -4.57  -2.58  -0.51  282.50 -139.27  -0.01   0.01   0.00  -0.00
 103     BPMz   0.00  12.10   7.63  -4.77   2.12 -8898.38 8074.75  -4.57  -2.58  -0.51  282.50 -139.27  -0.01   0.01   0.00  -0.00
 104    SD1S1   0.19  12.10   7.63  -4.77   2.12 -8898.38 8074.75  -4.57  -2.58  -0.51  282.50 -139.27  -0.01   0.01   0.00  -0.00
 105      SX2   0.00  12.29   9.56  -5.36   2.12 -7364.18 8074.75  -3.65  -2.26  -0.52  256.04 -139.27  -0.01   0.01   0.00  -0.00
 106     HCOR   0.00  12.29   9.56  -5.70   2.12 -7364.17 7945.73  -3.65  -2.39  -0.52  256.04 -148.25  -0.01   0.01   0.00  -0.00
 107     VCOR   0.00  12.29   9.56  -5.70   2.12 -7364.17 -4202.81  -3.65  -2.39  -0.52  256.04 -148.25  -0.01  -0.00   0.00  -0.00
 108     SD1S   0.07  12.29   9.56  -5.70   2.12 -7364.17 -4202.81  -3.65  -2.39  -0.52  256.04 -148.25  -0.01  -0.00   0.00  -0.00
 109      QP4   0.15  12.37  10.43  -5.96   2.12 -7679.38 -4202.81  -3.30  -2.25  -0.52  244.92 -148.25  -0.01  -0.00   0.00  -0.00
 110      SD2   0.21  12.52   8.73  15.96   2.12 -6998.14 13026.01  -3.77   5.73  -0.53  248.96  203.61  -0.01   0.01   0.00   0.00
 111      QP3   0.15  12.73   3.32   9.81   2.13 -4262.68 13026.01  -6.57   7.61  -0.53  291.72  203.61  -0.00   0.01   0.00   0.00
 112    SD2SB   0.04  12.88   1.79   1.70   2.14 -3050.53 3670.24  -6.18  -9.88  -0.54  267.12 -520.63  -0.00   0.00   0.00  -0.00
 113     BPMx   0.00  12.92   1.66   1.61   2.14 -2903.72 3670.24  -5.41  -9.24  -0.54  246.30 -520.63  -0.00   0.00   0.00  -0.00
 114     BPMz   0.00  12.92   1.66   1.61   2.14 -2903.72 3670.24  -5.41  -9.24  -0.54  246.30 -520.63  -0.00   0.00   0.00  -0.00
 115     SD2S   0.20  12.92   1.66   1.61   2.14 -2903.72 3670.24  -5.41  -9.24  -0.54  246.30 -520.63  -0.00   0.00   0.00  -0.00
 116     BEND   0.28  13.11   1.11   1.19   2.17 -2188.02 3670.24  -2.42  -6.13  -0.55  144.77 -520.63  -0.00   0.00   0.00  -0.00
 117      SD0   0.10  13.39   0.27   1.20   2.24 -633.53 6991.31  -0.29  -1.78  -0.60   5.34 -503.76  -0.00   0.01   0.00  -0.00
 118      SD0   0.10  13.49   0.12   0.30   2.33  65.60 6991.31  -0.08  -0.36  -0.71 -45.04 -503.76   0.00   0.01  -0.00  -0.00
 119     BEND   0.28  13.59   0.15  -0.59   2.47  764.73 6991.31  -0.15   1.06  -0.90 -95.41 -503.76   0.00   0.01  -0.00  -0.00
 120     SD2S   0.20  13.87   0.84  -1.36   2.59  2280.99 3408.11  -1.85   5.28  -0.99 -237.65 -541.19   0.00   0.00  -0.00  -0.00
 121     BPMx   0.00  14.06   1.50  -2.02   2.62  2945.57 3408.11  -4.50   8.33  -1.00 -343.18 -541.19   0.00   0.00  -0.00  -0.00
 122     BPMz   0.00  14.06   1.50  -2.02   2.62  2945.57 3408.11  -4.50   8.33  -1.00 -343.18 -541.19   0.00   0.00  -0.00  -0.00
 123    SD2SB   0.04  14.06   1.50  -2.02   2.62  2945.57 3408.11  -4.50   8.33  -1.00 -343.18 -541.19   0.00   0.00  -0.00  -0.00
 124      QP3   0.15  14.10   1.67  -2.16   2.62  3081.90 3408.11  -5.19   8.95  -1.00 -364.83 -541.19   0.00   0.00  -0.00  -0.00
 125      SD2   0.21  14.25   3.35 -10.50   2.63  4248.37 12658.92  -5.71  -5.95  -1.00 -375.54  403.09   0.00   0.01  -0.00   0.00
 126      QP4   0.15  14.46   9.22 -17.48   2.64  6906.74 12658.92  -3.49  -4.61  -1.01 -290.89  403.09   0.01   0.01  -0.00   0.00
 127     SD1S   0.07  14.61  11.21   5.78   2.64  7557.96 -4224.60  -3.27   2.95  -1.02 -264.27 -38.08   0.01  -0.00  -0.00  -0.00
 128      SX2   0.00  14.69  10.36   5.55   2.64  7241.12 -4224.60  -3.73   3.17  -1.02 -267.13 -38.08   0.01  -0.00  -0.00  -0.00
 129     HCOR   0.00  14.69  10.36   5.91   2.64  7241.11 -4349.33  -3.73   3.30  -1.02 -267.13 -47.30   0.01  -0.00  -0.00  -0.00
 130     VCOR   0.00  14.69  10.36   5.91   2.64  7241.11 -3474.20  -3.73   3.30  -1.02 -267.13 -47.30   0.01  -0.00  -0.00  -0.00
 131    SD1S1   0.19  14.69  10.36   5.91   2.64  7241.10 -3474.20  -3.73   3.30  -1.02 -267.13 -47.30   0.01  -0.00  -0.00  -0.00
 132     BPMx   0.00  14.88   8.24   5.25   2.64  6581.01 -3474.20  -5.10   3.90  -1.03 -276.12 -47.30   0.01  -0.00  -0.00  -0.00
 133     BPMz   0.00  14.88   8.24   5.25   2.64  6581.01 -3474.20  -5.10   3.90  -1.03 -276.12 -47.30   0.01  -0.00  -0.00  -0.00
 134   SD1S1B   0.06  14.88   8.24   5.25   2.64  6581.01 -3474.20  -5.10   3.90  -1.03 -276.12 -47.30   0.01  -0.00  -0.00  -0.00
 135     QP41   0.15  14.94   7.62   5.04   2.64  6372.56 -3474.20  -5.58   4.09  -1.03 -278.95 -47.30   0.01  -0.00  -0.00  -0.00
 136    SD3S1   0.14  15.09   4.98  11.38   2.65  5259.81 -11121.71  -8.20  14.51  -1.03 -313.78 -424.58   0.01  -0.01  -0.00  -0.00
 137      SX3   0.00  15.22   2.39   7.85   2.65  3758.38 -11121.71 -12.59  17.99  -1.03 -371.10 -424.58   0.00  -0.01  -0.00  -0.00
 138     HCOR   0.00  15.22   2.39   7.79   2.65  3758.37 -11078.14 -12.59  17.70  -1.03 -371.10 -415.89   0.00  -0.01  -0.00  -0.00
 139     VCOR   0.00  15.22   2.39   7.79   2.65  3758.36 -11490.26 -12.59  17.70  -1.03 -371.10 -415.89   0.00  -0.01  -0.00  -0.00
 140     SD3S   0.07  15.22   2.39   7.79   2.65  3758.35 -11490.26 -12.59  17.70  -1.03 -371.10 -415.89   0.00  -0.01  -0.00  -0.00
 141     QP31   0.15  15.30   1.37   5.85   2.66  2896.58 -11490.26 -15.38  19.58  -1.04 -402.29 -415.89   0.00  -0.01  -0.00  -0.00
 142     SD3S   0.07  15.45   0.31   1.77   2.70  1495.87 -7606.19 -16.96 -10.07  -1.04 -408.56  334.28   0.00  -0.01  -0.00   0.00
 143      SX1   0.00  15.52   0.12   0.78   2.76  925.40 -7606.19 -15.48  -9.62  -1.04 -383.49  334.28   0.00  -0.01  -0.00   0.00
